"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"Покупатель:";"";"";"";"";"";"";"Общество с ограниченной ответственностью ""ПартсРу""";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(6)";""
"";"";"";"";"";"";"";"";"Адрес:";"";"";"";"";"";"";"125599, г. Москва, ул. Ижорская, д. 5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(6а)";""
"";"";"";"";"";"";"";"";"ИНН/КПП покупателя:";"";"";"";"";"";"";"7713747944/774301001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(6б)";""
"";"";"";"";"";"";"";"";"Валюта: наименование, код";"";"";"";"";"";"";"Российский рубль, 643";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(7)";""
"";"";"";"";"";"";"";"";"Идентификатор государственного контракта, договора (соглашения):";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(8)";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Код товара/ работ, услуг";"";"";"";"";"№ п/п";"";"";"";"Наименование товара (описание выполненных работ, оказанных услуг), имущественного права";"";"";"";"";"";"";"Код вида товара";"";"";"Единица
измерения";"";"";"";"";"";"";"";"";"";"Коли-
чество 
(объем)";"";"";"";"Цена (тариф)
за
единицу измерения";"Стоимость товаров (работ, услуг), имущест-
венных прав без налога - всего";"";"";"";"";"";"";"В том
числе
сумма 
акциза";"";"Нало-
говая ставка";"";"";"";"Сумма налога, предъяв-
ляемая покупателю";"Стоимость товаров (работ, услуг), имущест-
венных прав с налогом - всего";"";"";"Страна
происхождения товара";"";"Регистрационный номер декларации на товары или регистрационный номер партии товара, подлежащего прослеживаемости";"";"Количественная единица измерения товара, используемая в целях прослеживаемости";"";"";"";"Количество товара, подлежащего прослеживаемости в Количественной единице измерения товара";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"код";"";"";"условное обозна-
чение (нацио-
нальное)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"циф-
ро-
вой код";"краткое наиме-
нование";"";"";"Код";"";"Условное обозначение";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"А";"";"";"";"";"1";"";"";"";"1";"";"";"";"";"";"";"1";"";"";"2";"";"";"2";"";"";"";"";"";"";"3";"";"";"";"4";"5";"";"";"";"";"";"";"6";"";"7";"";"";"";"8";"9";"";"";"10";"10";"11";"";"12";"";"12";"";"13";"";"";"";"";""
"";"52364S6M004";"";"";"";"";"1";"";"";"";"Сайлентблок задний, заднего пpодольного pычага";"";"";"";"";"";"";"--";"";"";"796 ";"";"";"шт";"";"";"";"";"";"";"2";"";"";"";"793.34";"1586.67";"";"";"";"";"";"";"без акциза";"";"20%";"";"";"";"317.33";"1904";"";"";"-- ";"--";"--                            ";"";"";"";"";"";"";"";"";"";"";""
"";"18229SNEA01";"";"";"";"";"2";"";"";"";"Прокладка выхлопной трубы";"";"";"";"";"";"";"--";"";"";"796 ";"";"";"шт";"";"";"";"";"";"";"1";"";"";"";"977.5";"977.5";"";"";"";"";"";"";"без акциза";"";"20%";"";"";"";"195.5";"1173";"";"";"-- ";"--";"--                            ";"";"";"";"";"";"";"";"";"";"";""
"";"18229SNEA01";"";"";"";"";"3";"";"";"";"Прокладка выхлопной трубы";"";"";"";"";"";"";"--";"";"";"796 ";"";"";"шт";"";"";"";"";"";"";"1";"";"";"";"977.5";"977.5";"";"";"";"";"";"";"без акциза";"";"20%";"";"";"";"195.5";"1173";"";"";"--";"--";"--";"";"";"";"";"";"";"";"";"";"";""
"";"51391S7A801";"";"";"";"";"4";"";"";"";"САЙЛЕНТБЛОК PЫЧАГА ПЕPЕДНЕЙ ПОДВЕСКИ ПЕPЕДНИЙ";"";"";"";"";"";"";"--";"";"";"796 ";"";"";"шт";"";"";"";"";"";"";"2";"";"";"";"1089.17";"2178.33";"";"";"";"";"";"";"без акциза";"";"20%";"";"";"";"435.67";"2614";"";"";"-- ";"--";"--                            ";"";"";"";"";"";"";"";"";"";"";""
"";"91214PNA014";"";"";"";"";"5";"";"";"";"Сальник коленвала задний";"";"";"";"";"";"";"--";"";"";"796 ";"";"";"шт";"";"";"";"";"";"";"2";"";"";"";"859.17";"1718.33";"";"";"";"";"";"";"без акциза";"";"20%";"";"";"";"343.67";"2062";"";"";"-- ";"--";"--                            ";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"Всего к оплате";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7438.33";"";"";"";"";"";"";"Х";"";"";"";"";"";"1487.67";"8926";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Документ составлен на
1 листе";"";"";"";"";"";"";"";"Руководитель организации
или иное уполномоченное лицо";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Безотосов Р.А.";"";"";"";"";"";"";"";"";"";"";"";"Главный бухгалтер
или иное уполномоченное лицо";"";"";"";"";"";"";"";"";"";"";"";"";"Кох О.В.";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(подпись)";"";"";"";"";"";"";"";"";"";"(ф.и.о.)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(подпись)";"";"";"";"(ф.и.о.)";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"
Индивидуальный предприниматель";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(подпись)";"";"";"";"";"";"";"";"";"";"(ф.и.о.)";"";"";"";"";"";"";"";"";"";"";"";"";"";"(реквизиты свидетельства о государственной  регистрации индивидуального предпринимателя)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"Договор НВ50/21 от 19.02.2021 г.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[8]"
"";"Основание передачи (сдачи) / получения (приемки)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"(договор; доверенность и др.)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Данные о транспортировке и грузе";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[9]"
"";"";"";"";"";"";"";"(транспортная накладная, поручение экспедитору, экспедиторская / складская расписка и др. / масса нетто/ брутто груза, если не приведены ссылки на транспортные документы, содержащие эти сведения)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Товар (груз) передал / услуги, результаты работ, права сдал";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Товар (груз) получил / услуги, результаты работ, права принял";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[10]";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[15]"
"";"(должность)";"";"";"";"(подпись)";"";"";"";"";"";"";"";"";"(ф.и.о.)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(должность)";"";"";"";"";"";"";"";"";"";"(подпись)";"";"";"";"";"";"";"(ф.и.о.)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Дата отгрузки, передачи (сдачи)";"";"";"";"";"";"« 28 »     марта    2022  года";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[11]";"";"";"";"";"";"";"Дата получения (приемки)";"";"";"";"";"";"";"";"";"";"«      »                    20     года";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[16]"
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Иные сведения об отгрузке, передаче";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Иные сведения о получении, приемке";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[12]";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[17]"
"";"(ссылки на неотъемлемые приложения, сопутствующие документы, иные документы и т.п.)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(информация о наличии/отсутствии претензии; ссылки на неотъемлемые приложения, и другие  документы и т.п.)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Ответственный за правильность оформления факта хозяйственной жизни";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Ответственный за правильность оформления факта хозяйственной жизни";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[13]";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[18]"
"";"(должность)";"";"";"";"(подпись)";"";"";"";"";"";"";"";"";"(ф.и.о.)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(должность)";"";"";"";"";"";"";"";"";"";"(подпись)";"";"";"";"";"";"";"(ф.и.о.)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Наименование экономического субъекта – составителя документа (в т.ч. комиссионера / агента)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Наименование экономического субъекта – составителя документа";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"Общество с ограниченной ответственностью ""НОВА"", ИНН/КПП 9715384898/771501001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[14]";"";"";"";"";"";"";"Общество с ограниченной ответственностью ""ПартсРу"", ИНН/КПП 7713747944/774301001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"[19]"
"";"(может не заполняться при проставлении печати в М.П., может быть указан ИНН / КПП)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"(может не заполняться при проставлении печати в М.П., может быть указан ИНН / КПП)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"М.П.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"М.П.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
