CatalogName;Number;Name;Price;Quantity;InBox
ACDelco;19347692;Опора шаровая Lacetti;766;3;1
ACDelco;19347693;Рычаг передний Lh Aveo;2989;1;1
ACDelco;19347694;Рычаг передний Rh Aveo;2989;2;1
ACDelco;19347923;Амортизатор задний Cruze (хэтчбэк);1628;5;1
ACDelco;19347924;Амортизатор передний Lh Cruze;3089;3;1
ACDelco;19347925;Амортизатор передний Rh Cruze;3180;1;1
ACDelco;19347927;Амортизатор передний Rh Cruze;3089;5;1
ACDelco;19347929;Амортизатор передний Lh Astra-J;5228;4;1
ACDelco;19347930;Амортизатор передний Rh Astra-J;5228;4;1
ACDelco;19347931;Амортизатор передний Lh Astra-J;3628;2;1
ACDelco;19347932;Амортизатор передний Rh Astra-J;3628;2;1
ACDelco;19347933;Амортизатор задний Lh Insignia;3890;1;1
ACDelco;19347934;Амортизатор задний Rh Insignia;3890;1;1
ACDelco;19347935;Амортизатор передний Lh Insignia;5214;1;1
ACDelco;19347936;Амортизатор передний Rh Insignia;5214;2;1
ACDelco;19347937;Амортизатор задний Zafira-B;1606;6;1
ACDelco;19347938;Амортизатор передний Rh Astra-H. Zafira-B;2640;3;1
ACDelco;19347939;Амортизатор задний Corsa-D, Aveo;1831;5;1
ACDelco;19347940;Амортизатор передний Lh Mokka;5531;3;1
ACDelco;19347941;Амортизатор передний Rh Mokka;5531;3;1
ACDelco;19347942;Амортизатор задний Mokka;3199;2;1
ACDelco;19347943;Амортизатор передний Lh Aveo;1919;2;1
ACDelco;19347944;Амортизатор передний Rh Aveo;1919;2;1
ACDelco;19347945;Амортизатор передний Lh Lacetti;2469;2;1
ACDelco;19347946;Амортизатор передний Rh Lacetti;2469;2;1
ACDelco;19347948;Амортизатор задний Rh Lacetti;2217;4;1
ACDelco;19347949;Амортизатор передний Lh Astra-H. Zafira-B;2640;4;1
ACDelco;19347950;Амортизатор передний Lh Aveo;2309;2;1
ACDelco;19347951;Амортизатор передний Rh Aveo;2309;3;1
ACDelco;19347952;Амортизатор задний Aveo'10-;1567;2;1
ACDelco;19348365;Щётка стеклоочистителя бескаркасная 380мм;500;5;1
ACDelco;19348776;Модуль зажигания Astra-J, Corsa-D, Insignia, Mokka, Meriva-B, Zafira-C;5980;5;1
ACDelco;19348790;Цилиндр сцепления рабочий Captiva, Antara;2706;2;1
ACDelco;19348791;Подшипник выжимной;3931;12;1
ACDelco;19348800;Радиатор кондиционера Mokka;4969;1;1
ACDelco;19348868;Генератор 100A / OPEL Astra-J,Insignia,Zafira-C,Chevrolet Aveo,Tracker 1,6/1,8 09~;14985;2;1
ACDelco;19348870;Генератор 120A Astra-J, Insignia, Zafira-C;15298;1;1
ACDelco;19348871;Генератор 120А;15298;2;1
ACDelco;19350426;Ступица задняя Aveo, Cobalt (+ABS);4400;9;1
ACDelco;19350439;Колодки тормозные Re Insignia (17 +);1352;1;1
ACDelco;19350513;Фильтр салона угольный Corsa-D;428;2;1
ACDelco;19350609;Фильтр топливный;898;8;1
ACDelco;19350610;Фильтр салона Astra-G/H;401;15;1
ACDelco;19350759;Стартер 1,2KW Chevrolet Aveo 1.3-1.8 97~;6553;3;1
ACDelco;19350760;Стартер;8232;1;1
ACDelco;19350869;Датчик кислородный Antara 2,4 XE,XF;3861;2;1
ACDelco;19350870;Датчик кислородный Antara 2,4 XE,XF;3630;1;1
ACDelco;19350871;Датчик кислородный Antara 2.4 XE,XF;3539;1;1
ACDelco;19350872;Датчик кислородный Antara 3.2 SE;3539;2;1
ACDelco;19350873;Датчик кислородный Antara;5172;2;1
ACDelco;19350876;Датчик кислородный;2799;6;1
ACDelco;19350893;Катушка зажигания OPEL Insignia 2.8,Chevrolet,Cadillac,SAAB 9-5 V6 07~;2280;2;1
ACDelco;19350923;Катушка зажигания Chevrolet Cobalt 13~;2219;1;1
ACDelco;19351088;Амортизатор передний Lh Cobalt'13-;2596;1;1
ACDelco;19351089;Амортизатор задний Cobalt'13-;1831;1;1
ACDelco;19351090;Амортизатор передний Rh Corsa-D;2935;2;1
ACDelco;19351091;Амортизатор передний Lh Corsa-D;2952;3;1
ACDelco;19351092;Амортизатор задний Spark'10-;1401;2;1
ACDelco;19351093;Амортизатор передний Rh Spark;2148;1;1
ACDelco;19351094;Амортизатор передний Lh Spark;2708;2;1
ACDelco;19351095;Амортизатор передний Lh Epica;3538;1;1
ACDelco;19351097;Тяга рулевая;1106;2;1
ACDelco;19351098;Наконечник рулевой тяги;1835;6;1
ACDelco;19351100;Наконечник рулевой тяги Antara, Captiva;825;6;1
ACDelco;19351101;Стойка переднего стабилизатора Astra-J, Insignia, Zafira-C;1775;5;1
ACDelco;19351102;Опора шаровая Corsa-D;803;2;1
ACDelco;19351103;Стойка переднего стабилизатора Rh Captiva, Antara;758;2;1
ACDelco;19351104;Стойка переднего стабилизатора Lh Antara, Captiva;826;4;1
ACDelco;19351106;Рычаг передний Lh Antara, Captiva;5811;1;1
ACDelco;19351107;Стойка переднего стабилизатора Aveo'12-;795;3;1
ACDelco;19351109;Рычаг передний Rh Aveo'12-;3722;2;1
ACDelco;19351110;Стойка переднего стабилизатора Astra-H, Zafira-B;807;1;1
ACDelco;19351111;Стойка переднего стабилизатора Spark'10-;646;2;1
ACDelco;19351112;Рычаг передний Lh Spark'10-;3681;2;1
ACDelco;19351113;Рычаг передний Rh Spark'10-;3681;2;1
ACDelco;19351197;Щётка стеклоочистителя 350мм;413;8;1
ACDelco;19351199;Щётка стеклоочистителя 400мм (гибридная);483;10;1
ACDelco;19351202;Щётка стеклоочистителя 480мм (гибридная);398;3;1
ACDelco;19351203;Щётка стеклоочистителя 500мм (гибридая);600;4;1
ACDelco;19351204;Щётка стеклоочистителя 530мм (гибридная);448;6;1
ACDelco;19351205;Щётка стеклоочистителя 550мм (гибридная);463;6;1
ACDelco;19351208;Щётка стеклоочистителя 650мм (гибридная);639;14;1
ACDelco;19351268;Свеча зажигания Antara 3.0;576;26;1
ACDelco;19351269;Свеча зажигания;133;152;1
ACDelco;19351318;Щётка стеклоочистителя 325мм;233;4;1
ACDelco;19351319;Щётка стеклоочистителя 350мм;302;10;1
ACDelco;19351320;Щётка стеклоочистителя 375мм;280;6;1
ACDelco;19351321;Щётка стеклоочистителя 400мм;284;10;1
ACDelco;19351322;Щётка стеклоочистителя 425мм;276;12;1
ACDelco;19351323;Щётка стеклоочистителя 450мм;302;5;1
ACDelco;19351324;Щётка стеклоочистителя 475мм;313;22;1
ACDelco;19351325;Щётка стеклоочистителя 500мм;333;5;1
ACDelco;19351326;Щётка стеклоочистителя 525мм;352;7;1
ACDelco;19351327;Щётка стеклоочистителя 550мм;379;5;1
ACDelco;19351328;Щётка стеклоочистителя 600мм;410;5;1
ACDelco;19351329;Щётка стеклоочистителя 650мм;480;3;1
ACDelco;19351330;Щётка стеклоочистителя 700мм;543;4;1
ACDelco;19371708;Насос водяной OPEL Antara,Insignia-A,Vectra-C,Signum,SAAB 9-3 2.8/3.2 NEL,NET,NER,SE 02~;3567;4;1
ACDelco;19371709;Насос водяной Chevrolet Cobalt 1.5 13~;3555;2;1
ACDelco;19371880;Фильтр масляный;838;12;1
ACDelco;19371881;Фильтр масляный  / OPEL Astra-J,Insignia,Zafira-C 1.3/1.6/2.0 Diesel;586;15;1
ACDelco;19371882;Фильтр воздушный Antara 2,2 DM;826;6;1
ACDelco;19371883;Фильтр топливный;1019;3;1
ACDelco;19371884;Фильтр масляный;179;3;1
ACDelco;19371995;Ступица передняя Captiva, Antara;6224;2;1
ACDelco;19371996;Ступица задняя Antara, Captiva;3620;2;1
ACDelco;19371997;Подшипник передней ступицы Aveo;1322;2;1
ACDelco;19371998;Ступица задняя Aveo, Cobalt (-ABS);4412;5;1
ACDelco;19371999;Подшипник передней ступицы Corsa-D;1254;2;1
ACDelco;19372000;Ступица задняя Corsa-D;2126;12;1
ACDelco;19372012;Радиатор кондиционера Antara;8105;1;1
ACDelco;19372013;Радиатор кондиционера Antara 2,2 DM;6285;2;1
ACDelco;19372014;Радиатор кондиционера Corsa-D;3769;2;1
ACDelco;19372020;Амортизатор передний Rh Antara 07-;3981;1;1
ACDelco;19372021;Амортизатор передний Lh Antara 07-;3976;2;1
ACDelco;19372022;Амортизатор передний Rh Antara 07-;3931;1;1
ACDelco;19372023;Амортизатор передний Lh Antara;3931;3;1
ACDelco;19372024;Амортизатор передний Rh Antara;3931;1;1
ACDelco;19372026;Амортизатор задний Astra-H;1437;2;1
ACDelco;19372027;Амортизатор задний Antara;4227;3;1
ACDelco;19372029;Амортизатор задний Astra-H;1890;2;1
ACDelco;19372030;Амортизатор передний Rh Corsa-D;3155;1;1
ACDelco;19372031;Амортизатор передний Lh Corsa-D;3155;1;1
ACDelco;19372033;Наконечник рулевой тяги Mokka;714;3;1
ACDelco;19372034;Тяга рулевая Aveo'11-;914;2;1
ACDelco;19372035;Тяга рулевая Corsa-D;695;3;1
ACDelco;19372036;Наконечник рулевой тяги Rh Corsa-D;762;2;1
ACDelco;19372037;Наконечник рулевой тяги Lh Corsa-D;796;2;1
ACDelco;19372038;Наконечник рулевой тяги Antara;739;3;1
ACDelco;19372039;Опора Fr амортизатора вехняя Insignia;2556;3;1
ACDelco;19372040;Стойка переднего стабилизатора Corsa-D;561;4;1
ACDelco;19372041;Рычаг передний Rh Corsa-D;2654;5;1
ACDelco;19372042;Рычаг передний Lh Corsa-D;2690;1;1
ACDelco;19372043;Подшипник опорный передней стойки Corsa-D;1534;2;1
ACDelco;19372044;Подшипник опорный переднего амортизатора Antara;759;3;1
ACDelco;19372045;Опора переднего амортизатора Aveo'11-;1498;3;1
ACDelco;19372047;Подшипник опорный переднего амортизатора Lacetti'03-;281;3;1
ACDelco;19372048;Рычаг передний Rh Astra-J, Cruze'10-;7254;3;1
ACDelco;19372049;Рычаг передний Lh Astra-J;7006;2;1
ACDelco;19372050;Опора переднего амортизатора Zafira-C;1836;3;1
ACDelco;19372052;Рычаг передний Rh Zafira-C;7252;2;1
ACDelco;19372053;Рычаг передний Lh Zafira-C;7230;1;1
ACDelco;19372054;Рычаг передний Rh Mokka;3724;1;1
ACDelco;19372055;Рычаг передний Lh Mokka;3876;3;1
ACDelco;19372056;Рычаг передний Rh Mokka;4202;2;1
ACDelco;19372057;Рычаг передний Rh Orlando;5352;2;1
ACDelco;19372058;Рычаг передний Lh Orlando;5352;5;1
ACDelco;19372059;Опора переднего амортизатора Spark'10-;1374;4;1
ACDelco;19372095;Амортизатор задний Corsa;1188;2;1
ACDelco;19372096;Амортизатор передний Rh Orlando;3142;1;1
ACDelco;19372097;Амортизатор задний Orlando;2199;2;1
ACDelco;19372112;Радиатор охлаждения двигателя / OPEL Antara, Chevrolet Captiva 2.2 DM (МКПП);7468;1;1
ACDelco;19372117;Радиатор охлаждения двигателя / OPEL Meriva-B 1,4 NEL,NET (с АКПП) ;6593;2;1
ACDelco;19372162;Амортизатор передний Cobalt;2596;3;1
ACDelco;19372190;Диск тормозной Fr (321мм) Astra-J, Zafira-C;3039;8;1
ACDelco;19372191;Колодки тормозные Re Astra-G/H, Zafira-A/B, Corsa-C, Meriva;1378;5;1
ACDelco;19372200;Диск тормозной Fr (276мм) Astra-J, Aveo, Cruze;2216;5;1
ACDelco;19372202;Диск тормозной Fr (24x300) Astra-J, Zafira-C, Cruze, Orlando;2506;2;1
ACDelco;19372207;Диск тормозной Re Astra-J, Zafira-C, Cruze, Orlando (292мм);1853;4;1
ACDelco;19372209;Диск тормозной Re Insignia (16 - 292mm);1837;2;1
ACDelco;19372212;Диск тормозной Fr (30x321) Insignia (17 );3069;2;1
ACDelco;19372213;Диск тормозной Fr (337мм) Insignia (17 +);2512;2;1
ACDelco;19372215;Диск тормозной Fr Antara, Captiva;2765;3;1
ACDelco;19372216;Диск тормозной Re Antara;2614;2;1
ACDelco;19372217;Колодки тормозные Fr Astra-J,Insignia,Zafira-C;2819;3;1
ACDelco;19372219;Барабан тормозной Re Corsa-D;2281;2;1
ACDelco;19372222;Диск тормозной Fr Corsa-D (22x257мм);2195;2;1
ACDelco;19372223;Диск тормозной Fr Astra-G/H, Zafira, Corsa-C (24x280мм);2307;6;1
ACDelco;19372226;Колодки тормозные барабанные Aveo;1130;3;1
ACDelco;19372227;Колодки тормозные Re Antara, Captiva;2116;4;1
ACDelco;19372228;Колодки тормозные Fr Astra-J, Zafira-C;2139;2;1
ACDelco;19372230;Диск тормозной Fr Aveo, Spark;1528;2;1
ACDelco;19372232;Диск тормозной Re Lacetti;1320;4;1
ACDelco;19372233;Диск тормозной Fr Lacetti;1699;3;1
ACDelco;19372234;Колодки тормозные Fr Astra-H, Zafira-B, Corsa-C, Meriva;1770;4;1
ACDelco;19372522;Термостат в корпусе;3725;1;1
ACDelco;19372523;Термостат в корпусе;3083;2;1
ACDelco;19372524;Термостат в корпусе 105*C (без прокладки);3647;2;1
ACDelco;19372613;Фильтр масляный / Chevrolet Aveo, Spark 1.0/1.2 08~;170;8;1
ACDelco;19372614;Фильтр масляный / NISSAN Almera, Primera, X-Trail, Patrol ;305;1;1
ACDelco;19372615;Фильтр масляный / HYUNDAI i30, i40, ix35, Santa Fe. KIA Ceed, Sorento, Sportage 10~;226;3;1
ACDelco;19372616;Фильтр масляный Ford 1.25/1.4/1.6 Zetec-S.Duratec.EcoBoost 95~;216;3;1
ACDelco;19372617;Фильтр вентиляции салона / HYUNDAI Getz, Accent 00~;414;3;1
ACDelco;19372619;Фильтр вентиляции салона / KIA Sorento 15~;400;2;1
ACDelco;19372620;Фильтр вентиляции салона / HYUNDAI ix35, Tucson, KIA Sorento, Sportage 04~;295;3;1
ACDelco;19372622;Фильтр воздушный / NISSAN Juke, Tiida, Sentra. RENAULT Fluence 10~;288;3;1
ACDelco;19372623;Фильтр салона Logan 2;314;1;1
ACDelco;19372624;Фильтр вентиляции салона / RENAULT Clio, Megane, Kangoo 96~;285;4;1
ACDelco;19372625;Фильтр вентиляции салона / NISSAN Qashqai, X-Trail 07~;272;1;1
ACDelco;19372631;Фильтр воздушный HYUNDAI Solaris. KIA Rio 10~;357;4;1
ACDelco;19372632;Фильтр воздушный / HYUNDAI i30, Elantra. KIA Ceed 11~;407;1;1
ACDelco;19372634;Фильтр воздушный / MITSUBISHI ASX, Outlander, Lancer 07~;418;3;1
ACDelco;19372639;Фильтр воздушный / SEAT,SKODA Fabia,Octavia-II,Rapid,Roomster,VW Caddy-III, Golf-V/VI,Golf Plus,Jetta-IV, Polo 1.4/1.6 04~;569;1;1
ACDelco;19372641;Фильтр воздушный / RENAULT Logan, Sandero 04~;348;1;1
ACDelco;19372642;Фильтр воздушный Kia Ceed HB / SW. Cerato Sedan / Coupe;287;4;1
ACDelco;19372657;Фильтр воздушный / KIA Sorento 02~;374;1;1
ACDelco;19372660;Фильтр воздушный AUDI A-3,SEAT,SKODA,VW 05/03~;591;3;1
ACDelco;19372668;Фильтр масляный / Daewoo. Chevrolet Aveo, Matiz, Spark 0.8-1.2 98~ ;192;4;1
ACDelco;19372669;Фильтр масляный Ford Focus-II,C-MAX,Mondeo-III 1.8/2.0/2.3 DURATEC-HE 10/02~ MAZDA 3/5/6 1.8/2.0.Tribute 2.3;209;2;1
ACDelco;19372670;Фильтр масляный HYUNDAI i30. ix35. i40. Accent. KIA Ceed. Cerato. Rio 90-;221;1;1
ACDelco;19372675;Фильтр масляный / MITSUBISHI ASX, Outlander, Lancer, Pajero. NISSAN Almer, Juke 91~;199;4;1
ACDelco;19372677;Фильтр масляный / NISSAN, RENAULT, MITSUBISHI, OPEL;200;2;1
ACDelco;19372679;Фильтр масляный / AUDI,SEAT,SKODA,VW 09~;425;5;1
ACDelco;19372680;Фильтр масляный / AUDI,SEAT,SKODA ,VW 1.4-2.8 90~;233;4;1
ACDelco;19372681;Фильтр масляный AUDI,SEAT,SKODA,VW 1.8/2.0 FSI,TFSI  04~;570;3;1
ACDelco;19372682;Фильтр масляный / AUDI,FORD Galaxy,SEAT,SKODA ,VW 1.2-2.5 TDI,SDI/2.3V5/2.8/3.2V6 97~;234;3;1
ACDelco;19372683;Фильтр масляный / TOYOTA Camry, Avensis, Celica, Corolla, Rav 4 87~;202;3;1
ACDelco;19372684;Фильтр масляный / TOYOTA Corolla, Auris, Avensis, Camry, Celica, Rav 4 83~;195;2;1
ACDelco;19372688;Фильтр салона (угольный) Ford Foc'11-;443;8;1
ACDelco;19372695;Фильтр вентиляции салона HYUNDAI  ix35, Tucson, KIA Sportage 10~;284;1;1
ACDelco;19372697;Фильтр салонный Nissan Qashqai;324;4;1
ACDelco;19372699;Фильтр салона угольный Megane;534;2;1
ACDelco;19372705;Фильтр салона угольный AUDI A-3,Q3,TT. SEAT. SKODA . VW 03~;589;1;1
ACDelco;19372706;Фильтр салонный VW Polo ;330;3;1
ACDelco;19372709;Фильтр топливный, бензин AUDI,SEAT,SKODA,VW 1.2-3.2 02/03~;969;5;1
ACDelco;19372713;Фильтр воздушный / KIA Sorento 15~;483;1;1
ACDelco;19372715;Фильтр вентиляции салона / HYUNDAI i30, Accent. KIA Ceed 00~;323;3;1
ACDelco;19372720;Фильтр топливный VAZ 21041 / 2105 / 2106 / 2107;270;2;1
ACDelco;19372721;Фильтр воздушный Chevrolet Spark 13~;479;1;1
ACDelco;19372722;Фильтр салона Daewoo, Ravon NEXIA;356;2;1
ACDelco;19372812;Фильтр вентиляции салона HYUNDAI Santa Fe 06~;285;1;1
